station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-01",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-02",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-03",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-04",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-05",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-06",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-07",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-08",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-09",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-10",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-11",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-12",54
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-13",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-14",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-15",55
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-16",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-17",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-18",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-19",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-20",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-21",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-22",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-23",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-24",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-25",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-26",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-27",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-28",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-29",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-30",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-01-31",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-01",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-02",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-03",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-04",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-05",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-06",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-07",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-08",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-09",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-10",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-11",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-12",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-13",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-14",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-15",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-16",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-17",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-18",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-19",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-20",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-21",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-22",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-23",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-24",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-25",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-26",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-27",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-02-28",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-01",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-02",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-03",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-04",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-05",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-06",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-07",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-08",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-09",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-10",87
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-11",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-12",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-13",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-14",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-15",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-16",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-17",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-18",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-19",87
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-20",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-21",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-22",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-23",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-24",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-25",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-26",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-27",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-28",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-29",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-30",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-03-31",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-01",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-02",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-03",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-04",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-05",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-06",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-07",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-08",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-09",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-10",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-11",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-12",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-13",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-14",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-15",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-16",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-17",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-18",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-19",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-20",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-21",85
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-22",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-23",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-24",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-25",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-26",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-27",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-28",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-29",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-04-30",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-01",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-02",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-03",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-04",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-05",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-06",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-07",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-08",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-09",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-10",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-11",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-12",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-13",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-14",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-15",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-16",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-17",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-18",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-19",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-20",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-21",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-22",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-23",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-24",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-25",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-26",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-27",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-28",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-29",85
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-30",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-05-31",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-06-01",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-06-02",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-06-03",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-06-04",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1997-06-05",74
