station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-01",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-02",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-03",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-04",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-05",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-06",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-07",55
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-08",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-09",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-10",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-11",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-12",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-13",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-14",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-15",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-16",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-17",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-18",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-19",81
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-20",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-21",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-22",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-23",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-24",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-25",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-26",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-27",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-28",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-29",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-30",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-01-31",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-01",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-02",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-03",54
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-04",55
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-05",53
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-06",53
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-07",54
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-08",52
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-09",54
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-10",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-11",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-12",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-13",54
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-14",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-15",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-16",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-17",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-18",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-19",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-20",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-21",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-22",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-23",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-24",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-25",84
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-26",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-27",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-02-28",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-01",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-02",55
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-03",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-04",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-05",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-06",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-07",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-08",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-09",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-10",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-11",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-12",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-13",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-14",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-15",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-16",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-17",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-18",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-19",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-20",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-21",82
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-22",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-23",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-24",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-25",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-26",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-27",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-28",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-29",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-30",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-03-31",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-01",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-02",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-03",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-04",99
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-05",101
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-06",102
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-07",93
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-08",88
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-09",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-10",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-11",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-12",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-13",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-14",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-15",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-16",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-17",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-18",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-19",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-20",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-21",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-22",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-23",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-24",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-25",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-26",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-27",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-28",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-29",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-04-30",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-01",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-02",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-03",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-04",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-05",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-06",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-07",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-08",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-09",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-10",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-11",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-12",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-13",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-14",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-15",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-16",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-17",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-18",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-19",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-20",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-21",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-22",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-23",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-24",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-25",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-26",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-27",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-28",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-29",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-30",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-05-31",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-06-01",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-06-02",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-06-03",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-06-04",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-06-05",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-06-06",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-06-07",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1989-06-08",67
