station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-01",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-02",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-03",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-04",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-05",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-06",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-07",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-08",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-09",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-10",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-11",54
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-12",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-13",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-14",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-15",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-16",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-17",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-18",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-19",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-20",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-21",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-22",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-23",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-24",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-25",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-26",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-27",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-28",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-29",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-30",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01-31",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-01",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-02",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-03",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-04",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-05",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-06",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-07",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-08",54
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-09",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-10",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-11",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-12",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-13",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-14",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-15",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-16",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-17",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-18",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-19",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-20",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-21",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-22",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-23",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-24",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-25",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-26",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-27",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02-28",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-01",81
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-02",82
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-03",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-04",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-05",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-06",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-07",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-08",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-09",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-10",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-11",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-12",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-13",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-14",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-15",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-16",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-17",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-18",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-19",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-20",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-21",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-22",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-23",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-24",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-25",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-26",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-27",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-28",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-29",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-30",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03-31",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-04-01",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-04-02",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-04-03",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-04-04",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-04-05",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-04-06",67
