station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-01",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-02",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-03",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-04",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-05",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-06",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-07",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-08",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-09",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-10",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-11",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-12",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-13",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-14",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-15",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-16",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-17",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-18",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-19",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-20",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-21",55
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-22",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-23",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-24",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-25",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-26",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-27",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-28",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-29",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-30",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-01-31",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-01",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-02",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-03",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-04",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-05",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-06",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-07",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-08",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-09",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-10",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-11",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-12",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-13",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-14",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-15",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-16",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-17",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-18",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-19",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-20",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-21",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-22",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-23",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-24",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-25",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-26",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-27",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-02-28",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-01",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-02",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-03",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-04",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-05",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-06",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-07",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-08",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-09",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-10",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-11",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-12",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-13",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-14",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-15",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-16",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-17",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-18",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-19",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-20",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-21",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-22",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-23",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-24",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-25",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-26",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-27",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-28",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-29",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-30",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-03-31",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-01",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-02",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-03",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-04",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-05",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-06",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-07",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-08",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-09",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-10",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-11",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-12",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-13",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-14",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-15",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-16",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-17",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-18",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-19",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-20",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-21",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-22",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-23",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-24",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-25",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-26",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-27",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-28",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-29",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-04-30",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-01",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-02",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-03",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-04",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-05",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-06",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-07",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-08",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-09",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-10",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-11",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-12",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-13",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-14",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-15",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-16",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-17",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-18",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-19",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-20",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-21",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-22",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-23",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-24",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-25",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-26",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-27",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-28",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-29",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-30",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-05-31",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-01",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-02",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-03",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-04",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-05",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-06",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-07",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-08",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-09",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-10",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-11",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-12",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-13",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-14",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-15",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-16",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-17",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-18",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-19",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-20",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-21",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-22",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-23",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-24",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-25",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-26",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-27",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-28",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-29",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-06-30",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-01",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-02",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-03",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-04",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-05",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-06",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-07",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-08",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-09",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-10",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-11",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-12",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-13",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-14",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-15",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-16",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-17",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-18",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-19",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-20",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-21",81
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-22",81
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-23",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-24",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-25",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-26",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-27",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-28",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-29",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-30",82
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-07-31",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-01",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-02",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-03",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-04",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-05",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-06",88
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-07",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-08",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-09",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-10",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-11",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-12",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-13",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-14",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-15",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-16",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-17",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-18",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-19",81
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-20",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-21",85
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-22",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-23",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-24",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-25",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1982-08-26",79
