station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-01",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-02",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-03",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-04",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-05",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-06",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-07",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-08",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-09",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-10",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-11",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-12",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-13",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-14",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-15",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-16",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-17",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-18",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-19",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-20",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-21",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1988-01-22",64
