station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-01",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-02",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-03",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-04",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-05",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-06",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-07",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-08",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-09",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-10",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-11",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-12",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-13",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-14",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-15",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-16",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-17",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-18",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-19",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-20",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-21",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-22",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-23",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-24",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-25",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-26",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-27",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-28",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-29",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-30",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-01-31",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-01",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-02",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-03",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-04",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-05",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-06",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-07",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-08",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-09",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-10",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-11",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-12",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-13",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-14",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-15",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-16",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-17",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-18",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-19",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-20",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-21",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-22",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-23",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-24",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-25",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-26",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-27",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-28",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-02-29",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-03-01",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1980-03-02",62
