station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-01",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-02",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-03",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-04",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-05",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-06",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-07",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-08",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-09",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-10",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-11",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-12",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-13",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-14",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-15",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-16",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-17",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-18",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-19",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-20",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-21",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-22",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-23",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-24",78
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-25",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-26",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-27",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-28",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-29",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-30",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-01-31",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-01",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-02",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-03",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-04",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-05",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-06",55
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-07",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-08",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-09",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-10",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-11",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-12",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-13",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-14",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-15",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-16",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-17",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-18",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-19",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-20",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-21",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-22",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-23",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2019-02-24",64
