station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-01",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-02",56
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-03",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-04",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-05",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-06",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-07",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-08",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-09",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-10",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-11",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-12",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-13",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-14",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-15",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-16",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-17",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-18",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-19",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-20",59
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-21",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-22",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-23",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-24",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-25",80
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-26",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-27",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-28",72
