station,name,date,tmax
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-01",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-02",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-03",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-04",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-05",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-06",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-07",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-08",73
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-09",79
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-10",81
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-11",88
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-12",82
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-13",81
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-14",70
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-15",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-16",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-17",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-18",82
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-19",74
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-20",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-21",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-22",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-23",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-24",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-25",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-26",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-27",83
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-28",76
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-29",72
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-30",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-01-31",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-01",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-02",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-03",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-04",71
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-05",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-06",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-07",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-08",60
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-09",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-10",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-11",58
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-12",61
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-13",57
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-14",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-15",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-16",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-17",62
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-18",64
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-19",65
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-20",63
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-21",68
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-22",75
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-23",81
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-24",87
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-25",77
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-26",69
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-27",66
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-02-28",67
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1986-03-01",61
